,Transported
0,False
1,True
2,False
3,False
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,True
12,True
13,False
14,True
15,False
16,False
17,False
18,True
19,True
20,False
21,False
22,False
23,False
24,True
25,False
26,False
27,False
28,True
29,False
30,False
31,False
32,False
33,True
34,True
35,True
36,True
37,False
38,False
39,False
40,False
41,True
42,False
43,False
44,True
45,True
46,False
47,True
48,False
49,False
50,False
51,True
52,True
53,True
54,True
55,False
56,False
57,False
58,True
59,True
60,False
61,True
62,True
63,False
64,False
65,True
66,False
67,False
68,False
69,False
70,True
71,True
72,True
73,False
74,False
75,False
76,True
77,True
78,True
79,True
80,False
81,True
82,True
83,True
84,False
85,False
86,True
87,True
88,False
89,False
90,True
91,False
92,True
93,True
94,False
95,True
96,True
97,False
98,False
99,False
100,False
101,False
102,True
103,False
104,False
105,True
106,True
107,True
108,True
109,True
110,False
111,True
112,True
113,False
114,True
115,True
116,False
117,False
118,True
119,False
120,False
121,False
122,True
123,True
124,False
125,True
126,False
127,True
128,False
129,True
130,True
131,False
132,False
133,True
134,False
135,True
136,False
137,True
138,False
139,False
140,False
141,True
142,True
143,True
144,False
145,True
146,True
147,False
148,False
149,False
150,True
151,True
152,True
153,False
154,False
155,False
156,True
157,False
158,True
159,False
160,True
161,True
162,False
163,True
164,False
165,False
166,True
167,False
168,False
169,True
170,False
171,True
172,True
173,False
174,False
175,True
176,False
177,True
178,True
179,True
180,True
181,True
182,True
183,False
184,True
185,False
186,True
187,True
188,True
189,False
190,False
191,False
192,False
193,False
194,False
195,True
196,True
197,True
198,False
199,False
200,False
201,False
202,True
203,False
204,False
205,False
206,True
207,False
208,False
209,False
210,False
211,True
212,True
213,False
214,False
215,True
216,False
217,False
218,False
219,False
220,False
221,True
222,False
223,True
224,False
225,False
226,False
227,True
228,True
229,True
230,False
231,False
232,False
233,False
234,True
235,False
236,False
237,True
238,True
239,False
240,True
241,False
242,False
243,False
244,True
245,True
246,False
247,True
248,False
249,True
250,True
251,False
252,False
253,True
254,True
255,True
256,True
257,True
258,True
259,False
260,True
261,False
262,False
263,True
264,True
265,True
266,True
267,True
268,True
269,True
270,True
271,True
272,False
273,False
274,True
275,False
276,False
277,False
278,True
279,False
280,False
281,True
282,True
283,True
284,True
285,False
286,True
287,True
288,True
289,False
290,False
291,False
292,False
293,False
294,False
295,True
296,True
297,True
298,False
299,False
300,True
301,False
302,False
303,True
304,True
305,True
306,True
307,True
308,False
309,False
310,False
311,True
312,False
313,True
314,True
315,True
316,False
317,True
318,True
319,False
320,True
321,True
322,False
323,False
324,True
325,False
326,False
327,True
328,True
329,False
330,True
331,False
332,False
333,False
334,True
335,False
336,False
337,True
338,False
339,True
340,True
341,False
342,True
343,True
344,True
345,True
346,True
347,False
348,False
349,False
350,True
351,True
352,False
353,False
354,False
355,False
356,True
357,False
358,False
359,False
360,True
361,True
362,False
363,False
364,False
365,True
366,True
367,False
368,False
369,False
370,False
371,False
372,False
373,False
374,False
375,True
376,False
377,False
378,True
379,False
380,True
381,True
382,False
383,True
384,True
385,True
386,True
387,True
388,True
389,True
390,True
391,False
392,True
393,False
394,True
395,True
396,True
397,False
398,False
399,False
400,True
401,False
402,False
403,False
404,False
405,False
406,False
407,False
408,True
409,True
410,False
411,True
412,True
413,True
414,True
415,True
416,True
417,True
418,True
419,True
420,False
421,True
422,False
423,False
424,True
425,False
426,True
427,True
428,True
429,True
430,False
431,False
432,False
433,False
434,True
435,False
436,False
437,True
438,True
439,False
440,True
441,False
442,True
443,False
444,False
445,True
446,True
447,False
448,False
449,True
450,False
451,False
452,False
453,False
454,False
455,True
456,True
457,True
458,True
459,False
460,True
461,False
462,False
463,True
464,False
465,False
466,True
467,True
468,True
469,False
470,True
471,True
472,True
473,True
474,True
475,True
476,True
477,True
478,False
479,False
480,True
481,True
482,False
483,True
484,False
485,True
486,True
487,False
488,True
489,False
490,False
491,False
492,True
493,False
494,False
495,False
496,False
497,True
498,True
499,True
500,True
501,True
502,False
503,True
504,False
505,False
506,False
507,False
508,False
509,True
510,True
511,True
512,True
513,False
514,True
515,True
516,True
517,True
518,False
519,True
520,False
521,False
522,True
523,True
524,False
525,False
526,True
527,True
528,False
529,False
530,True
531,True
532,False
533,True
534,True
535,True
536,True
537,False
538,True
539,True
540,True
541,False
542,True
